CIMMCO,20161104,70,72.5,68.15,69.2,33599,0
CINELINE,20161104,99.8,105.95,95.3,96.95,1603219,0
CINEVISTA,20161104,8.2,8.75,7.35,7.55,68909,0
CIPLA,20161104,556.1,565.5,538,544.7,1517311,0
CLNINDIA,20161104,772.1,779.45,751.05,756.25,9413,0
CNOVAPETRO,20161104,32,33.7,30.5,33.65,6405,0
COALINDIA,20161104,327,327,312.3,315.9,3382028,0
COFFEEDAY,20161104,222,222.95,215,218.1,93286,0
COLPAL,20161104,980,1031.2,972.15,984.15,1792996,0
COMPINFO,20161104,251,251,234.2,238.85,11510,0
COMPUSOFT,20161104,18.65,19.15,17,17.1,612851,0
CONCOR,20161104,1364,1393,1364,1382.75,349147,0
CONSOFINVT,20161104,69.4,69.4,63.4,65.05,22156,0
CONTROLPR,20161104,288,291,281.05,282.45,5455,0
CORDSCABLE,20161104,63.5,64.95,56.65,58,47973,0
COROMANDEL,20161104,267.1,272,254.9,257.55,223419,0
CORPBANK,20161104,41.4,41.4,40,40.05,829909,0
COSMOFILMS,20161104,380,392,363.6,381,190444,0
COUNCODOS,20161104,4.25,4.4,3.85,4.2,17316,0
COX&KINGS,20161104,218.05,219.85,201,205.4,548983,0
CPSEETF,20161104,24.93,24.99,24.45,24.69,87862,0
CREST,20161104,90,92.25,85,85.6,52396,0
CRISIL,20161104,2224.85,2230,2201,2212.5,51357,0
CROMPGREAV,20161104,76.6,77.4,74.15,77,2995094,0
CROMPTON,20161104,175.4,177.75,168.25,176.05,631289,0
CTE,20161104,121.4,123,118.2,118.2,11886,0
CUB,20161104,150,150,144.5,149.55,650508,0
CUBEXTUB,20161104,15.8,15.8,15.75,15.8,158,0
CUMMINSIND,20161104,841,847.25,825,828.4,161863,0
CUPID,20161104,319.95,332.2,308.1,313.65,78978,0
CYBERTECH,20161104,82.55,88,79,80,58090,0
CYIENT,20161104,461.7,474.15,460,465.75,22043,0
DAAWAT,20161104,263.05,263.05,256.9,260.6,7135,0
DABUR,20161104,293.65,301.2,292.9,298.5,2166149,0
DALMIABHA,20161104,2030.05,2049.7,1961,1989.4,36373,0
DALMIASUG,20161104,118.5,118.5,110.3,111.8,181052,0
DAMODARIND,20161104,81,81.7,77.1,78.3,3090,0
DATAMATICS,20161104,83.85,84.3,76,78.35,204313,0
DBCORP,20161104,379.05,384,379.05,381.5,145279,0
DBL,20161104,213.2,222,213.2,218.8,193653,0
DBREALTY,20161104,46.5,47.05,44.3,44.9,314191,0
DBSTOCKBRO,20161104,15.9,15.9,15.8,15.8,10,0
DCBBANK,20161104,129.8,129.95,125.55,128.7,1210477,0
DCM,20161104,126.95,131.95,120.05,121.65,180315,0
DCMSHRIRAM,20161104,240,244.5,229.5,230.65,85643,0
DCW,20161104,33.1,33.9,31.55,32.35,1679438,0
DECCANCE,20161104,1135,1152.95,1055.3,1105.1,15463,0
DEEPAKFERT,20161104,219.75,231,205.05,210.65,42244,0
DEEPAKNTR,20161104,108.45,108.45,103.25,104.55,88856,0
DEEPIND,20161104,254.7,254.75,237.1,241.1,159985,0
DELTACORP,20161104,166.4,167.4,154.15,159.65,4964151,0
DEN,20161104,78.25,78.4,76.5,77.95,155574,0
DENABANK,20161104,36.85,37.1,35.6,36.25,578387,0
DENORA,20161104,258.25,260,247.05,250.65,14878,0
DHAMPURSUG,20161104,121.05,122.3,115,115.75,284833,0
DHANBANK,20161104,25.7,26.4,25.1,25.25,535966,0
DHANUKA,20161104,692.1,703.5,660.7,669.7,32554,0
DHARSUGAR,20161104,41.3,41.75,37.5,38.8,86757,0
DHFL,20161104,310.4,311.7,290.55,297.4,2805719,0
DHUNINV,20161104,190.1,217.9,190.1,210.85,115205,0
DIAPOWER,20161104,55,55,47.2,49.65,360472,0
DICIND,20161104,544,545,524.05,526.95,3529,0
DIGJAMLTD,20161104,15.4,15.4,14.15,14.9,436553,0
DISHMAN,20161104,238,239.9,219.45,226.2,2117059,0
DISHTV,20161104,89.05,90.9,85,87.35,17250339,0
DIVISLAB,20161104,1260,1264.95,1213.4,1253.95,280678,0
DLF,20161104,144,144.2,138.1,139.3,6647178,0
DLINKINDIA,20161104,87.5,88,80.3,81.8,88734,0
DOLPHINOFF,20161104,93.75,95.85,88.75,89.95,112106,0
DONEAR,20161104,77.7,79,74.4,74.5,278360,0
DPL,20161104,84.8,85.5,79.5,80.65,68930,0
DPSCLTD,20161104,38.5,38.5,36.2,36.6,42950,0
DQE,20161104,27.15,27.6,25.2,26.3,114780,0
DREDGECORP,20161104,409,413,395.45,397.15,24392,0
DRREDDY,20161104,3168,3168,3066.8,3079.7,632010,0
DSKULKARNI,20161104,73,73,69,70.35,28206,0
DSSL,20161104,21.85,22.05,21.85,21.85,2242,0
DTIL,20161104,314.7,317.85,305.05,309.6,2302,0
DUCON,20161104,91.95,91.95,83.25,83.25,1127046,0
DWARKESH,20161104,266.15,268,255.05,257,205674,0
DYNAMATECH,20161104,3171.4,3172.2,3077,3114.55,2376,0
EASTSILK,20161104,3.4,3.5,3.1,3.1,51882,0
EASUNREYRL,20161104,31,31.5,29.1,30,33291,0
ECEIND,20161104,325.1,339,325,333.2,10959,0
ECLERX,20161104,1495,1506.4,1485,1499.3,15315,0
EDELWEISS,20161104,115,115.4,108.45,111.95,1088205,0
EDL,20161104,60.35,60.8,58,58.2,45944,0
EDUCOMP,20161104,12.05,12.05,11.5,11.55,335369,0
EICHERMOT,20161104,24640,24745.05,23774.95,23929.75,33112,0
EIDPARRY,20161104,253.4,261.1,248.1,259.45,190972,0
EIHAHOTELS,20161104,315,337.2,311.25,318.2,72368,0
EIHOTEL,20161104,107,109.95,104,107.9,113453,0
EIMCOELECO,20161104,414.5,414.5,400,407,1906,0
EKC,20161104,35.75,36.95,32.8,33.65,882910,0
ELAND,20161104,27.3,28.4,26.5,27,58713,0
ELECON,20161104,64.35,65.95,60.3,61.2,223847,0
ELECTCAST,20161104,26.2,26.45,23.6,24.45,711516,0
ELECTHERM,20161104,227.2,230,218.1,218.1,7110,0
ELGIEQUIP,20161104,191,193.45,185.55,191.4,19533,0
ELGIRUBCO,20161104,38.25,38.7,36.35,37.7,63281,0
EMAMIINFRA,20161104,73.4,74,67.3,69.3,80280,0
EMAMILTD,20161104,1252.65,1260,1190,1199.5,85845,0
EMCO,20161104,33,33,30.55,30.9,179485,0
EMKAY,20161104,70.7,70.7,68,69.7,15242,0
EMMBI,20161104,125.8,127,121.8,122.8,33360,0
ENDURANCE,20161104,605.1,608.75,582,594.05,322506,0
ENERGYDEV,20161104,230.45,231.95,202.25,207.2,362831,0
ENGINERSIN,20161104,252.8,254.35,238,245.65,2203786,0
ENIL,20161104,799,799,750.1,761.25,13503,0
EON,20161104,67.5,68.3,64.1,65.25,40772,0
EQ30,20161104,242.3,257,215.9,216.24,299,0
EQUITAS,20161104,178.8,178.8,170.6,172.35,803549,0
EROSMEDIA,20161104,184.2,185.75,178.85,181.5,180618,0
ESABINDIA,20161104,635,658,605,611.25,20659,0
ESCORTS,20161104,374,374.7,350,352,1361991,0
ESL,20161104,3.3,3.35,3.05,3.1,2054508,0
ESSARSHPNG,20161104,29.6,30.2,28.65,28.85,93642,0
ESSDEE,20161104,54.8,55.65,52.1,52.15,33490,0
ESSELPACK,20161104,248.95,249,233.3,239.6,120262,0
ESTER,20161104,50.2,52.8,45.8,46.7,184527,0
EUROCERA,20161104,8.6,8.6,7.8,7.9,42031,0
EUROMULTI,20161104,1.45,1.45,1.45,1.45,1000,0
EUROTEXIND,20161104,27.1,29.7,26.75,28.7,421,0
EVEREADY,20161104,251,255,248.15,249.95,60868,0
EVERESTIND,20161104,225,226,218.05,218.75,25442,0
EXCEL,20161104,50,50.5,45.8,46.25,128826,0
EXCELCROP,20161104,1890.45,1930,1821.05,1852.4,5676,0
EXCELINDUS,20161104,471,475.5,431.1,435.2,36792,0
EXIDEIND,20161104,192,195.45,186.6,188.8,3801480,0
FACT,20161104,24.9,25.4,24,24.55,425433,0
FAGBEARING,20161104,4370.05,4394.9,4120.2,4235.85,1272,0
FARMAXIND,20161104,0.1,0.1,0.1,0.1,35051,0
FCL,20161104,35.55,36.45,33.05,34.5,428775,0
FCONSUMER,20161104,21.2,21.4,19.95,20.1,2336829,0
FCSSOFT,20161104,0.3,0.35,0.25,0.3,897249,0
FDC,20161104,221,225.45,211,215.3,42998,0
FEDDERLOYD,20161104,81,82.7,77.9,79,92845,0
FEDERALBNK,20161104,77.45,78.4,75.05,76.6,6653592,0
FEL,20161104,16.6,17.5,16.5,16.8,4666317,0
FELDVR,20161104,17.6,18.8,16.7,17.4,74644,0
FIEMIND,20161104,1384.3,1393.3,1278.8,1289.8,15096,0
FILATEX,20161104,68,79.25,68,74.3,272834,0
FINANTECH,20161104,80.1,81,77,77.75,140208,0
FINCABLES,20161104,443.5,443.5,430.1,434.5,24198,0
FINPIPE,20161104,450.15,452.65,438.25,443.9,20266,0
FIRSTWIN,20161104,2.4,2.4,2.4,2.4,1600,0
FLEXITUFF,20161104,196.3,199,190.1,192.7,28696,0
FLFL,20161104,141.4,144,136.2,139.3,40066,0
FMGOETZE,20161104,466,475,447,450,12781,0
FMNL,20161104,34.5,36,33.3,34.45,66869,0
FORTIS,20161104,171.85,172.15,165.15,168.7,738318,0
FOSECOIND,20161104,1398.05,1403,1376,1398.65,952,0
FRETAIL,20161104,157.05,158.9,148,150,126264,0
FSL,20161104,38.7,38.85,37.05,37.65,1661984,0
GABRIEL,20161104,122,122,116.25,118.1,244339,0
GAEL,20161104,94.35,95,86.05,92.6,183209,0
GAIL,20161104,430,432.7,421.5,424,1377727,0
GAL,20161104,13,13.7,13,13,829397,0
GALLANTT,20161104,46.1,47,43.2,44.7,73767,0
GALLISPAT,20161104,523.6,524.4,522.3,523.35,10633,0
GAMMNINFRA,20161104,4.9,4.9,4.5,4.7,1568882,0
GAMMONIND,20161104,15,15,14.1,14.15,252788,0
GANDHITUBE,20161104,315.05,322,308.55,312.6,5008,0
GANECOS,20161104,216.75,218,206.35,214.45,18281,0
GANESHHOUC,20161104,82.7,82.7,75.05,79.15,36651,0
GANGOTRI,20161104,1.05,1.05,1.05,1.05,2000,0
GARDENSILK,20161104,32.5,33,30.9,31.2,99226,0
GARWALLROP,20161104,561.7,561.7,512.55,525.6,14099,0
GATI,20161104,145.9,147.45,137.15,138.15,2406889,0
GAYAPROJ,20161104,659.8,674.5,642,645.7,3300,0
GDL,20161104,240.3,241.6,230.2,231,604777,0
GEECEE,20161104,138.8,139.5,134,134.55,37318,0
GEMINI,20161104,2.5,2.65,2.3,2.45,72691,0
GENESYS,20161104,99.8,103,94.05,98.9,15100,0
GENUSPAPER,20161104,6.3,6.4,5.25,5.6,578902,0
GENUSPOWER,20161104,43.8,44.4,42.5,42.65,174081,0
GEOJITBNPP,20161104,39.9,40,37.3,37.6,265759,0
GEOMETRIC,20161104,231.4,239.4,229.4,238.35,253855,0
GEPIL,20161104,512.15,519.5,503,507.75,3713,0
GESHIP,20161104,365,370.45,348.05,356.85,40119,0
GET&D,20161104,324.5,327.5,320,322.9,215431,0
GHCL,20161104,261.5,263,247.6,255.05,638782,0
GICHSGFIN,20161104,322.2,325,312.2,316.4,91904,0
GILLANDERS,20161104,68,68.8,66.5,67.25,14923,0
GILLETTE,20161104,4315.05,4351,4210,4226.85,5452,0
GINNIFILA,20161104,23.5,23.55,22,22.15,137401,0
GIPCL,20161104,96.9,96.9,91,92.7,805739,0
GITANJALI,20161104,73.5,74.7,68,70.1,1264336,0
